date,name,country,country_small_name,flag
2022-02-15,Liberation Day,Afghanistan,,🇦🇫
2022-03-21,Persian New Year's Day,Afghanistan,,🇦🇫
2022-03-22,Day after the Persian New Year,Afghanistan,,🇦🇫
2022-04-02,FIrst Day of Ramadan,Afghanistan,,🇦🇫
2022-04-28,Mujahideen Victory Day,Afghanistan,,🇦🇫
2022-05-01,International Workers' Day,Afghanistan,,🇦🇫
2022-05-02,Festival of Breaking the Fast,Afghanistan,,🇦🇫
2022-05-03,Second Day of the Festival of Breaking the Fast,Afghanistan,,🇦🇫
2022-05-04,Third Day of the Festival of Breaking the Fast,Afghanistan,,🇦🇫
2022-07-08,Day of Arafah,Afghanistan,,🇦🇫
2022-07-09,Feast of the Sacrifice,Afghanistan,,🇦🇫
2022-07-10,Second Day of the Feast of the Sacrifice,Afghanistan,,🇦🇫
2022-07-11,Third Day of the Feast of the Sacrifice,Afghanistan,,🇦🇫
2022-08-15,Victory of the Islamic Emirate,Afghanistan,,🇦🇫
2022-08-19,Independence Day,Afghanistan,,🇦🇫
2022-08-31,Public Holiday,Afghanistan,,🇦🇫
2022-10-08,Birth of the Prophet,Afghanistan,,🇦🇫
2022-01-01,New Year's Day,Albania,,🇦🇱
2022-03-14,Summer Day,Albania,,🇦🇱
2022-03-22,Iranian New Year's Day,Albania,,🇦🇱
2022-04-17,Easter,Albania,,🇦🇱
2022-04-18,Easter Monday,Albania,,🇦🇱
2022-04-24,Orthodox Easter,Albania,,🇦🇱
2022-04-25,Orthodox Easter Monday,Albania,,🇦🇱
2022-05-02,Festival of Breaking the Fast,Albania,,🇦🇱
2022-09-05,Mother Teresa Day,Albania,,🇦🇱
2022-11-28,Independence Day,Albania,,🇦🇱
2022-11-29,Liberation Day,Albania,,🇦🇱
2022-12-08,Youth Day,Albania,,🇦🇱
2022-01-01,New Year's Day,Algeria,,🇩🇿
2022-01-12,Amazigh New Year's Day,Algeria,,🇩🇿
2022-02-22,Fraternity and Cohesion Day,Algeria,,🇩🇿
2022-05-01,Labor Day,Algeria,,🇩🇿
2022-05-03,Festival of Breaking the Fast,Algeria,,🇩🇿
2022-07-05,Independence Day,Algeria,,🇩🇿
2022-07-10,Feast of the Sacrifice,Algeria,,🇩🇿
2022-07-30,Islamic New Year's Day,Algeria,,🇩🇿
2022-08-07,Ashura,Algeria,,🇩🇿
2022-10-08,Birth of the Prophet,Algeria,,🇩🇿
2022-11-01,Revolution Day,Algeria,,🇩🇿
2022-01-01,New Year's Day,Andorra,,🇦🇩
2022-01-06,Epiphany,Andorra,,🇦🇩
2022-02-28,Carnival,Andorra,,🇦🇩
2022-03-14,Constitution Day,Andorra,,🇦🇩
2022-04-15,Good Friday,Andorra,,🇦🇩
2022-04-18,Easter Monday,Andorra,,🇦🇩
2022-05-01,Labor Day,Andorra,,🇦🇩
2022-06-06,Pentecost Monday,Andorra,,🇦🇩
2022-08-15,Assumption of Mary,Andorra,,🇦🇩
2022-09-08,National Day,Andorra,,🇦🇩
2022-11-01,All Saints' Day,Andorra,,🇦🇩
2022-12-08,Feast of the Immaculate Conception,Andorra,,🇦🇩
2022-12-25,Christmas Day,Andorra,,🇦🇩
2022-12-26,Saint Stephen's Day,Andorra,,🇦🇩
2022-01-01,New Year's Day,Angola,,🇦🇴
2022-02-04,Liberation Movement Day,Angola,,🇦🇴
2022-03-01,Shrove Tuesday,Angola,,🇦🇴
2022-03-23,Southern Africa Liberation Day,Angola,,🇦🇴
2022-04-04,Peace Day,Angola,,🇦🇴
2022-04-15,Good Friday,Angola,,🇦🇴
2022-09-17,National Hero Day,Angola,,🇦🇴
2022-11-02,All Souls' Day,Angola,,🇦🇴
2022-11-11,Independence Day,Angola,,🇦🇴
2022-01-01,New Year's Day,Antigua and Barbuda,,🇦🇬
2022-03-01,Shrove Tuesday,Antigua and Barbuda,,🇦🇬
2022-03-02,Ash Wednesday,Antigua and Barbuda,,🇦🇬
2022-04-15,Good Friday,Antigua and Barbuda,,🇦🇬
2022-04-18,Easter Monday,Antigua and Barbuda,,🇦🇬
2022-05-01,Labor Day,Antigua and Barbuda,,🇦🇬
2022-06-06,Pentecost Monday,Antigua and Barbuda,,🇦🇬
2022-11-01,Independence Day,Antigua and Barbuda,,🇦🇬
2022-12-09,V.C. Bird Day,Antigua and Barbuda,,🇦🇬
2022-12-25,Christmas Day,Antigua and Barbuda,,🇦🇬
2022-12-26,Boxing Day,Antigua and Barbuda,,🇦🇬
2022-01-01,New Year's Day,Argentina,,🇦🇷
2022-02-28,Shrove Monday,Argentina,,🇦🇷
2022-03-01,Shrove Tuesday,Argentina,,🇦🇷
2022-03-24,Day of Remembrance for Truth and Justice,Argentina,,🇦🇷
2022-04-02,Day of the Veterans and Fallen of the Falklands War,Argentina,,🇦🇷
2022-04-02,Malvinas Day,Argentina,,🇦🇷
2022-04-15,Good Friday,Argentina,,🇦🇷
2022-04-17,Easter,Argentina,,🇦🇷
2022-05-01,Labor Day,Argentina,,🇦🇷
2022-05-18,National Census Day,Argentina,,🇦🇷
2022-05-25,May Revolution,Argentina,,🇦🇷
2022-06-17,Anniversary of the Passing of General Martín Miguel de Güemes,Argentina,,🇦🇷
2022-06-20,General Manuel Belgrano Memorial Day,Argentina,,🇦🇷
2022-07-09,Independence Day,Argentina,,🇦🇷
2022-08-15,General José de San Martín Memorial Day,Argentina,,🇦🇷
2022-10-10,Day of Respect for Cultural Diversity,Argentina,,🇦🇷
2022-12-08,Feast of the Immaculate Conception,Argentina,,🇦🇷
2022-12-09,Feast of the Immaculate Conception Bridge Holiday,Argentina,,🇦🇷
2022-12-25,Christmas Day,Argentina,,🇦🇷
2022-01-01,New Year's Day,Armenia,,🇦🇲
2022-01-02,Second Day of the New Year,Armenia,,🇦🇲
2022-01-03,Third Day of the New Year,Armenia,,🇦🇲
2022-01-04,Fourth Day of the New Year,Armenia,,🇦🇲
2022-01-05,Orthodox Christmas Eve,Armenia,,🇦🇲
2022-01-06,Orthodox Christmas Day,Armenia,,🇦🇲
2022-01-07,The Day of Commemoration of All Dead People after Christmas Day,Armenia,,🇦🇲
2022-01-28,Army Day,Armenia,,🇦🇲
2022-03-08,International Women's Day,Armenia,,🇦🇲
2022-04-24,Armenian Genocide Remembrance Day,Armenia,,🇦🇲
2022-05-01,International Workers' Day,Armenia,,🇦🇲
2022-05-09,Victory and Peace Day,Armenia,,🇦🇲
2022-05-28,Republic Day,Armenia,,🇦🇲
2022-07-05,Constitution Day,Armenia,,🇦🇲
2022-09-21,Independence Day,Armenia,,🇦🇲
2022-12-31,New Year's Eve,Armenia,,🇦🇲
2022-01-26,Australia Day,Australia,,🇦🇺
2022-04-15,Good Friday,Australia,,🇦🇺
2022-04-18,Easter Monday,Australia,,🇦🇺
2022-04-25,ANZAC Day,Australia,,🇦🇺
2022-09-22,National Day of Mourning for Her Majesty The Queen,Australia,,🇦🇺
2022-12-26,Boxing Day,Australia,,🇦🇺
2022-01-01,New Year's Day,Austria,,🇦🇹
2022-01-06,Epiphany,Austria,,🇦🇹
2022-04-18,Easter Monday,Austria,,🇦🇹
2022-05-01,Labor Day,Austria,,🇦🇹
2022-05-26,Feast of the Ascension of Jesus Christ,Austria,,🇦🇹
2022-06-06,Pentecost Monday,Austria,,🇦🇹
2022-06-16,Feast of Corpus Christi,Austria,,🇦🇹
2022-08-15,Assumption of Mary,Austria,,🇦🇹
2022-10-26,National Day,Austria,,🇦🇹
2022-11-01,All Saints' Day,Austria,,🇦🇹
2022-12-08,Feast of the Immaculate Conception,Austria,,🇦🇹
2022-12-25,Christmas Day,Austria,,🇦🇹
2022-12-26,Saint Stephen's Day,Austria,,🇦🇹
2022-01-20,Martyrs' Day,Azerbaijan,,🇦🇿
2022-03-08,International Women's Day,Azerbaijan,,🇦🇿
2022-03-20,Spring Festival,Azerbaijan,,🇦🇿
2022-03-21,Second Day of the Spring Festival,Azerbaijan,,🇦🇿
2022-03-22,Third Day of the Spring Festival,Azerbaijan,,🇦🇿
2022-03-23,Fourth Day of the Spring Festival,Azerbaijan,,🇦🇿
2022-03-24,Fifth Day of the Spring Festival,Azerbaijan,,🇦🇿
2022-03-25,Sixth Day of the Spring Festival,Azerbaijan,,🇦🇿
2022-05-03,Festival of Breaking the Fast,Azerbaijan,,🇦🇿
2022-05-04,Second Day of the Festival of Breaking the Fast,Azerbaijan,,🇦🇿
2022-05-09,Victory Day,Azerbaijan,,🇦🇿
2022-06-15,National Salvation Day,Azerbaijan,,🇦🇿
2022-07-10,Feast of the Sacrifice,Azerbaijan,,🇦🇿
2022-07-11,Second Day of the Feast of the Sacrifice,Azerbaijan,,🇦🇿
2022-11-08,Azerbaijan Victory Day,Azerbaijan,,🇦🇿
2022-11-09,Flag Day,Azerbaijan,,🇦🇿
2022-12-31,International Solidarity Day of Azerbaijanis,Azerbaijan,,🇦🇿
2022-01-01,New Year's Day,Bahamas,,🇧🇸
2022-01-10,Majority Rule Day,Bahamas,,🇧🇸
2022-04-15,Good Friday,Bahamas,,🇧🇸
2022-04-18,Easter Monday,Bahamas,,🇧🇸
2022-06-03,Labor Day,Bahamas,,🇧🇸
2022-06-06,Pentecost Monday,Bahamas,,🇧🇸
2022-07-10,Independence Day,Bahamas,,🇧🇸
2022-08-05,Emancipation Day,Bahamas,,🇧🇸
2022-10-12,National Heroes' Day,Bahamas,,🇧🇸
2022-12-25,Christmas Day,Bahamas,,🇧🇸
2022-12-26,Boxing Day,Bahamas,,🇧🇸
2022-01-01,New Year's Day,Bahrain,,🇧🇭
2022-05-01,Labor Day,Bahrain,,🇧🇭
2022-05-02,Festival of Breaking the Fast,Bahrain,,🇧🇭
2022-05-03,Second Day of the Festival of Breaking the Fast,Bahrain,,🇧🇭
2022-05-04,Third Day of the Festival of Breaking the Fast,Bahrain,,🇧🇭
2022-07-10,Feast of the Sacrifice,Bahrain,,🇧🇭
2022-07-11,Second Day of the Feast of the Sacrifice,Bahrain,,🇧🇭
2022-07-12,Third Day of the Feast of the Sacrifice,Bahrain,,🇧🇭
2022-07-30,Islamic New Year's Day,Bahrain,,🇧🇭
2022-08-07,Ashura Eve,Bahrain,,🇧🇭
2022-08-08,Ashura,Bahrain,,🇧🇭
2022-12-16,National Day,Bahrain,,🇧🇭
2022-12-17,Accession Day,Bahrain,,🇧🇭
2022-12-18,National Day Holiday,Bahrain,,🇧🇭
2022-12-19,Additional National Day Holiday,Bahrain,,🇧🇭
2022-02-21,Language Martyrs' Day ,Bangladesh,,🇧🇩
2022-03-17,Mujib's Birthday,Bangladesh,,🇧🇩
2022-03-18,Shab-e-Barat,Bangladesh,,🇧🇩
2022-03-26,Independence Day,Bangladesh,,🇧🇩
2022-04-14,Bengali New Year's Day,Bangladesh,,🇧🇩
2022-04-29,Jumatul Bidah,Bangladesh,,🇧🇩
