year,state,region,population_in_m,victims_per_1m
2013,Ohio,Midwest,11.6,2.8
2013,Utah,West,2.9,1.7
2013,Texas,Southwest,26.5,2.5
2013,Kansas,Midwest,2.9,6.9
2013,Nevada,West,2.8,1.4
2013,Alabama,Southeast,4.8,2.5
2013,Arizona,Southwest,6.6,2.9
2013,Florida,Southeast,19.6,3.0
2013,Georgia,Southeast,10.0,3.1
2013,Indiana,Midwest,6.6,4.1
2013,Colorado,West,5.3,1.7
2013,Delaware,Northeast,0.9,14.1
2013,Illinois,Midwest,12.9,7.1
2013,Kentucky,Southeast,4.4,2.9
2013,Maryland,Northeast,5.9,3.4
2013,Michigan,Midwest,9.9,7.2
2013,Missouri,Midwest,6.0,7.9
2013,Nebraska,Midwest,1.9,2.1
2013,New York,Northeast,19.6,3.5
2013,Oklahoma,Southwest,3.9,6.7
2013,Virginia,Southeast,8.3,3.9
2013,Louisiana,Southeast,4.6,13.0
2013,Minnesota,Midwest,5.4,1.5
2013,Tennessee,Southeast,6.5,6.5
2013,Wisconsin,Midwest,5.7,0.7
2013,California,West,38.3,4.8
2013,New Jersey,Northeast,8.9,4.2
2013,New Mexico,Southwest,2.1,4.3
2013,Washington,West,7.0,2.9
2013,Connecticut,Northeast,3.6,4.2
2013,Mississippi,Southeast,3.0,2.7
2013,Pennsylvania,Northeast,12.8,5.0
2013,Rhode Island,Northeast,1.1,7.6
2013,West Virginia,Southeast,1.9,5.4
2013,North Carolina,Southeast,9.8,4.9
2013,South Carolina,Southeast,4.8,4.8
2013,District of Columbia,Northeast,0.7,70.6
2014,Ohio,Midwest,11.6,2.8
2014,Utah,West,2.9,3.7
2014,Maine,Northeast,1.3,3.8
2014,Texas,Southwest,27.0,3.9
2014,Alaska,West,0.7,8.1
2014,Nevada,West,2.8,6.0
2014,Oregon,West,4.0,2.3
2014,Alabama,Southeast,4.8,2.1
2014,Arizona,Southwest,6.7,0.6
2014,Florida,Southeast,19.9,4.8
